observableId	experimentId	measurement	time
prey_o	exp1	0.173017230669614	1.0
prey_o	exp1	0.4891767378340999	2.0
prey_o	exp1	1.6439955318035595	3.0
prey_o	exp1	5.451962785760956	4.0
prey_o	exp1	2.977522019296872	5.0
prey_o	exp1	0.1816633792119013	6.0
prey_o	exp1	0.3481122258889111	7.0
prey_o	exp1	0.9379191086100472	8.0
prey_o	exp1	3.1132400328752725	9.0
prey_o	exp1	8.86393324304537	10.0
predator_o	exp1	0.8474159434933868	1.0
predator_o	exp1	0.2111345157170515	2.0
predator_o	exp1	-0.0250538927548969	3.0
predator_o	exp1	0.1250104939525384	4.0
predator_o	exp1	6.700454555504469	5.0
predator_o	exp1	2.0071582885977066	6.0
predator_o	exp1	0.4200924826891049	7.0
predator_o	exp1	0.0480318516002818	8.0
predator_o	exp1	0.128669393707342	9.0
predator_o	exp1	1.1927837762326177	10.0
prey_o	exp2	0.2219828904947475	1.0
prey_o	exp2	0.5276545477245373	2.0
prey_o	exp2	1.4489892769025072	3.0
prey_o	exp2	4.870854183709297	4.0
prey_o	exp2	1.4339315443619949	5.0
prey_o	exp2	0.2019852010207778	6.0
prey_o	exp2	0.3531503760552806	7.0
prey_o	exp2	0.9502200881229326	8.0
prey_o	exp2	3.4021902017878376	9.0
prey_o	exp2	4.8268184728460115	10.0
predator_o	exp2	0.9788999227307986	1.0
predator_o	exp2	0.2467697011881828	2.0
predator_o	exp2	0.0635336820792109	3.0
predator_o	exp2	0.250021606661362	4.0
predator_o	exp2	6.3573469863762835	5.0
predator_o	exp2	1.661922951387048	6.0
predator_o	exp2	0.355368743021419	7.0
predator_o	exp2	0.0562119611873346	8.0
predator_o	exp2	0.1687295041256412	9.0
predator_o	exp2	4.457131477744339	10.0
