observableId	experimentId	measurement	time
prey_o	exp1	0.1730172306695482	1.0
prey_o	exp1	0.4891767378338391	2.0
prey_o	exp1	1.643995531803569	3.0
prey_o	exp1	5.45196278566626	4.0
prey_o	exp1	2.9775220192442062	5.0
prey_o	exp1	0.1816633792716763	6.0
prey_o	exp1	0.3481122259853288	7.0
prey_o	exp1	0.9379191088947356	8.0
prey_o	exp1	3.113240033804055	9.0
prey_o	exp1	8.863933242141234	10.0
predator_o	exp1	0.8474159434934865	1.0
predator_o	exp1	0.2111345157163205	2.0
predator_o	exp1	-0.0250538927556492	3.0
predator_o	exp1	0.1250104939760992	4.0
predator_o	exp1	6.700454554758639	5.0
predator_o	exp1	2.007158288516007	6.0
predator_o	exp1	0.4200924826951012	7.0
predator_o	exp1	0.0480318516144093	8.0
predator_o	exp1	0.1286693937436057	9.0
predator_o	exp1	1.192783778293036	10.0
